"Row.names";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"Length";"Description"
"NRRL3_10369";20979.5218892157;8.68821690167221;0.148420613178757;58.5378049288082;0;0;849;"S-adenosyl-L-methionine-dependent methyltransferase domain-containing protein"
"NRRL3_10368";10025.6453111412;4.37247740837111;0.145971473779227;29.9543280283942;3.86438641281116e-197;1.90920010724935e-193;1713;"major facilitator superfamily protein"
"NRRL3_04556";16063.4118545753;-4.96864211005841;0.177884513344883;-27.9318419385121;1.09561683345832e-171;3.60859664380055e-168;1356;"hydroxymethylglutaryl-CoA synthase"
"NRRL3_05586";2379.87130587717;4.29034694271017;0.160995591234131;26.6488473990001;1.84559219418559e-156;4.55907411768694e-153;1050;"alcohol dehydrogenase domain-containing protein"
"NRRL3_00857";3073.60433541423;-4.59702395040826;0.172844306570448;-26.5963284624282;7.4854220256042e-156;1.4792691006999e-152;507;"membrane apposition MARVEL domain-containing protein"
"NRRL3_00817";1403.69417973079;-3.78484512780048;0.142464779617586;-26.5668829724794;1.639162328462e-155;2.6994271612555e-152;1608;"glycerol proton symporter"
"NRRL3_02557";1033.30791786296;4.07760500023772;0.162720085886172;25.0590145526972;1.39239668627269e-138;1.96546737958007e-135;1140;"methionine aminopeptidase"
"NRRL3_01255";975.044030822757;4.42810822868688;0.178189479431405;24.8505593193088;2.55011637521737e-136;3.14971248794035e-133;1167;"fungal-specific transcription factor"
"NRRL3_05725";5946.67610913488;-4.25185775951309;0.171251505499333;-24.8281482087738;4.45361372306685e-136;4.88957302195817e-133;1710;"pyruvate decarboxylase"
"NRRL3_10372";3604.55303372616;10.0772373718723;0.40885932249381;24.6471997028387;3.9435518752046e-134;3.89662360788967e-131;1197;"aldose 1-/glucose-6-phosphate 1-epimerase family protein"
"NRRL3_03748";1467.38783138315;-4.87937375135364;0.203634288831479;-23.9614545239561;7.01943932286178e-127;6.30537090447247e-124;282;"hypothetical protein"
"NRRL3_10913";6232.37654391977;-2.38716514157869;0.100282326713826;-23.8044451081684;3.0039030248585e-125;2.4734638157189e-122;4434;"alpha-factor-transporting ATPase-like protein"
"NRRL3_08332";1099.81365181412;-3.39191982224323;0.143912113383476;-23.569383719666;7.94473904978413e-123;6.038612811609e-120;1617;"beta-1,3-glucanosyltransferase"
"NRRL3_05587";12991.0576569086;3.97302684687516;0.170171203642438;23.3472336202266;1.4702849651106e-120;1.03770612430413e-117;495;"EthD domain-containing protein"
"NRRL3_00808";1393.65934327319;-6.97596885418319;0.309771675424778;-22.5197117993997;2.66093101754823e-112;1.75284395895961e-109;4074;"CDR ABC transporter domain-containing protein"
"NRRL3_10370";833.44265119505;7.17857618736654;0.330458719766691;21.7230648125573;1.24209973592148e-104;7.6707421816501e-102;1338;"fungal-specific transcription factor"
"NRRL3_02770";935.331635603998;-4.87272522322853;0.22563602578734;-21.5955107621911;1.97943680862886e-103;1.15051853565069e-100;1833;"major facilitator superfamily protein"
"NRRL3_04755";2187.19079436155;3.04681598171066;0.142021250045178;21.4532401365391;4.25925886991289e-102;2.3380964940894e-99;840;"short-chain dehydrogenase/reductase family protein"
"NRRL3_00502";1001.42942749043;-4.14047945066238;0.19310602476876;-21.4414824996812;5.4838713805592e-102;2.85190174270029e-99;1167;"hypothetical protein"
"NRRL3_02555";2766.60950566527;4.53441785768421;0.211619822512224;21.427188643551;7.45477384761104e-102;3.68303101941224e-99;330;"hypothetical protein"
"NRRL3_02325";837.912703504601;-7.30966875237527;0.352435964741935;-20.7404166533561;1.49624012863446e-95;7.04016605287479e-93;2535;"kexin KexB"
