"category";"over_represented_pvalue";"under_represented_pvalue";"numDEInCat";"numInCat";"term";"ontology";"over_represented_padj"
"GO:0006412";7.80691502769601e-11;1;61;210;"translation";"BP";1.82837949948641e-07
"GO:0006364";3.00612238111391e-09;0.999999999908496;12;15;"rRNA processing";"BP";3.52016930828439e-06
"GO:0003735";7.94509170020667e-08;0.999999974608216;41;135;"structural constituent of ribosome";"MF";5.28141677889631e-05
"GO:0008121";9.02035316634725e-08;1;8;8;"ubiquinol-cytochrome-c reductase activity";"MF";5.28141677889631e-05
"GO:0005840";3.66020132248031e-07;0.999999878398825;39;132;"ribosome";"CC";0.000171443829944978
"GO:0005743";2.43834572458453e-06;0.99999966505405;14;29;"mitochondrial inner membrane";"CC";0.000951767614496161
"GO:0004129";5.28499021631404e-06;0.999999900769167;7;8;"cytochrome-c oxidase activity";"MF";0.00125439802403768
"GO:0009481";5.89170720086015e-06;1;6;6;NA;NA;0.00125439802403768
"GO:0009482";5.89170720086015e-06;1;6;6;NA;NA;0.00125439802403768
"GO:0009483";5.89170720086015e-06;1;6;6;NA;NA;0.00125439802403768
"GO:0009485";5.89170720086015e-06;1;6;6;NA;NA;0.00125439802403768
"GO:0051536";4.79647645723288e-05;0.999992999501054;11;24;"iron-sulfur cluster binding";"MF";0.00936112321903284
"GO:0005739";5.46704983708731e-05;0.999995618470426;8;13;"mitochondrion";"CC";0.00984910055266037
"GO:0004386";9.77288213233708e-05;0.999968388140146;22;80;"helicase activity";"MF";0.016348635681381
"GO:0032040";0.000128718462873951;0.999997177227498;5;6;"small-subunit processome";"CC";0.0200972426700528
"GO:0009055";0.000137756938874092;0.999968796413795;14;39;"electron transfer activity";"MF";0.0201641719276953
"GO:0008026";0.000155329585790916;0.999943321999705;25;99;"ATP-dependent helicase activity";"MF";0.0213989347013132
"GO:0005741";0.000193528313146444;0.999995341618762;5;6;"mitochondrial outer membrane";"CC";0.0251801838549428
"GO:0006207";0.000211026219528455;1;4;4;"'de novo' pyrimidine nucleobase biosynthetic process";"BP";0.0260117582176653
