TXNAME	GENEID
jgi|Aspni_NRRL3_1|1|NRRL3_00001	NRRL3_00001
jgi|Aspni_NRRL3_1|2|NRRL3_00002	NRRL3_00002
jgi|Aspni_NRRL3_1|3|NRRL3_00003	NRRL3_00003
jgi|Aspni_NRRL3_1|4|NRRL3_00004	NRRL3_00004
jgi|Aspni_NRRL3_1|5|NRRL3_00005	NRRL3_00005
jgi|Aspni_NRRL3_1|6|NRRL3_00006	NRRL3_00006
jgi|Aspni_NRRL3_1|7|NRRL3_00007	NRRL3_00007
jgi|Aspni_NRRL3_1|8|NRRL3_00008	NRRL3_00008
jgi|Aspni_NRRL3_1|9|NRRL3_00009	NRRL3_00009
jgi|Aspni_NRRL3_1|10|NRRL3_00010	NRRL3_00010
jgi|Aspni_NRRL3_1|11|NRRL3_00011	NRRL3_00011
jgi|Aspni_NRRL3_1|12|NRRL3_00012	NRRL3_00012
jgi|Aspni_NRRL3_1|13|NRRL3_00013	NRRL3_00013
jgi|Aspni_NRRL3_1|14|NRRL3_00014	NRRL3_00014
jgi|Aspni_NRRL3_1|15|NRRL3_00015	NRRL3_00015
jgi|Aspni_NRRL3_1|16|NRRL3_00016	NRRL3_00016
jgi|Aspni_NRRL3_1|17|NRRL3_00017	NRRL3_00017
jgi|Aspni_NRRL3_1|18|NRRL3_00018	NRRL3_00018
jgi|Aspni_NRRL3_1|19|NRRL3_00019	NRRL3_00019
jgi|Aspni_NRRL3_1|20|NRRL3_00020	NRRL3_00020
jgi|Aspni_NRRL3_1|21|NRRL3_00021	NRRL3_00021
jgi|Aspni_NRRL3_1|22|NRRL3_00022	NRRL3_00022
jgi|Aspni_NRRL3_1|23|NRRL3_00023	NRRL3_00023
jgi|Aspni_NRRL3_1|24|NRRL3_00024	NRRL3_00024
jgi|Aspni_NRRL3_1|25|NRRL3_00025	NRRL3_00025
jgi|Aspni_NRRL3_1|26|NRRL3_00026	NRRL3_00026
jgi|Aspni_NRRL3_1|27|NRRL3_00027	NRRL3_00027
jgi|Aspni_NRRL3_1|28|NRRL3_00028	NRRL3_00028
jgi|Aspni_NRRL3_1|29|NRRL3_00029	NRRL3_00029
jgi|Aspni_NRRL3_1|30|NRRL3_00030	NRRL3_00030
jgi|Aspni_NRRL3_1|31|NRRL3_00031	NRRL3_00031
jgi|Aspni_NRRL3_1|32|NRRL3_00032	NRRL3_00032
jgi|Aspni_NRRL3_1|33|NRRL3_00033	NRRL3_00033
jgi|Aspni_NRRL3_1|34|NRRL3_00034	NRRL3_00034
jgi|Aspni_NRRL3_1|35|NRRL3_00035	NRRL3_00035
jgi|Aspni_NRRL3_1|36|NRRL3_00036	NRRL3_00036
jgi|Aspni_NRRL3_1|37|NRRL3_00037	NRRL3_00037
jgi|Aspni_NRRL3_1|38|NRRL3_00038	NRRL3_00038
jgi|Aspni_NRRL3_1|39|NRRL3_00039	NRRL3_00039
jgi|Aspni_NRRL3_1|40|NRRL3_00040	NRRL3_00040
jgi|Aspni_NRRL3_1|41|NRRL3_00041	NRRL3_00041
jgi|Aspni_NRRL3_1|42|NRRL3_00042	NRRL3_00042
jgi|Aspni_NRRL3_1|43|NRRL3_00043	NRRL3_00043
jgi|Aspni_NRRL3_1|44|NRRL3_00044	NRRL3_00044
jgi|Aspni_NRRL3_1|45|NRRL3_00045	NRRL3_00045
jgi|Aspni_NRRL3_1|46|NRRL3_00046	NRRL3_00046
jgi|Aspni_NRRL3_1|47|NRRL3_00047	NRRL3_00047
jgi|Aspni_NRRL3_1|48|NRRL3_00048	NRRL3_00048
jgi|Aspni_NRRL3_1|49|NRRL3_00049	NRRL3_00049
jgi|Aspni_NRRL3_1|50|NRRL3_00050	NRRL3_00050
jgi|Aspni_NRRL3_1|51|NRRL3_00051	NRRL3_00051
jgi|Aspni_NRRL3_1|52|NRRL3_00052	NRRL3_00052
jgi|Aspni_NRRL3_1|53|NRRL3_00053	NRRL3_00053
jgi|Aspni_NRRL3_1|54|NRRL3_00054	NRRL3_00054
jgi|Aspni_NRRL3_1|55|NRRL3_00055	NRRL3_00055
jgi|Aspni_NRRL3_1|56|NRRL3_00056	NRRL3_00056
jgi|Aspni_NRRL3_1|57|NRRL3_00057	NRRL3_00057
jgi|Aspni_NRRL3_1|58|NRRL3_00058	NRRL3_00058
jgi|Aspni_NRRL3_1|59|NRRL3_00059	NRRL3_00059
jgi|Aspni_NRRL3_1|60|NRRL3_00060	NRRL3_00060
jgi|Aspni_NRRL3_1|61|NRRL3_00061	NRRL3_00061
jgi|Aspni_NRRL3_1|62|NRRL3_00062	NRRL3_00062
jgi|Aspni_NRRL3_1|63|NRRL3_00063	NRRL3_00063
jgi|Aspni_NRRL3_1|64|NRRL3_00064	NRRL3_00064
jgi|Aspni_NRRL3_1|65|NRRL3_00065	NRRL3_00065
jgi|Aspni_NRRL3_1|66|NRRL3_00066	NRRL3_00066
jgi|Aspni_NRRL3_1|67|NRRL3_00067	NRRL3_00067
jgi|Aspni_NRRL3_1|68|NRRL3_00068	NRRL3_00068
jgi|Aspni_NRRL3_1|69|NRRL3_00069	NRRL3_00069
jgi|Aspni_NRRL3_1|70|NRRL3_00070	NRRL3_00070
jgi|Aspni_NRRL3_1|71|NRRL3_00071	NRRL3_00071
jgi|Aspni_NRRL3_1|72|NRRL3_00072	NRRL3_00072
jgi|Aspni_NRRL3_1|73|NRRL3_00073	NRRL3_00073
