id	Length	Description
NRRL3_00001	3804	WD repeat and NACHT nucleoside triphosphatase domain-containing protein
NRRL3_00002	642	phenylacrylic acid decarboxylase
NRRL3_00003	1533	ferulic acid decarboxylase
NRRL3_00004	3444	alpha-factor-transporting ATPase-like protein
NRRL3_00005	786	aminotransferase class I and II family protein
NRRL3_00006	966	glycosyltransferase family 32 protein
NRRL3_00007	846	feruloyl esterase FaeA
NRRL3_00008	873	S-adenosyl-L-methionine-dependent methyltransferase domain-containing protein
NRRL3_00009	1728	2-isopropylmalate synthase
NRRL3_00010	1476	major facilitator superfamily protein
NRRL3_00011	864	hypothetical protein
NRRL3_00012	597	hypothetical protein
NRRL3_00013	1200	COMT-type O-methyltransferase family protein
NRRL3_00014	651	hypothetical protein
NRRL3_00015	762	S-adenosyl-L-methionine-dependent methyltransferase domain-containing protein
NRRL3_00016	2244	alpha-galactosidase Mel36C
NRRL3_00017	315	hypothetical protein
NRRL3_00018	1506	histidine acid phosphatase-like protein
NRRL3_00019	909	globin/protoglobin domain-containing protein
NRRL3_00020	207	hypothetical protein
NRRL3_00021	675	hypothetical protein
NRRL3_00022	1734	protein kinase-like domain-containing protein
NRRL3_00023	372	hypothetical protein
NRRL3_00024	4176	protein kinase domain-containing protein
NRRL3_00025	1389	FAD-dependent oxidoreductase domain-containing protein
NRRL3_00026	1629	amino acid/polyamine transporter I family protein
NRRL3_00027	723	HAD-like domain-containing protein
NRRL3_00028	2157	fungal-specific transcription factor
NRRL3_00029	1041	hypothetical protein
NRRL3_00030	3354	non-ribosomal peptide synthetase-like protein
NRRL3_00031	1221	alpha/beta hydrolase fold-1 domain-containing protein
NRRL3_00032	969	NmrA-like domain-containing protein
NRRL3_00033	927	monooxygenase Af470-like protein
NRRL3_00034	1656	fungal-specific transcription factor
NRRL3_00035	558	hypothetical protein
NRRL3_00036	4644	non-ribosomal peptide synthetase
NRRL3_00037	1311	FAD-binding domain-containing protein
NRRL3_00038	627	hypothetical protein
NRRL3_00039	2016	major facilitator superfamily protein, efflux pump
NRRL3_00040	1530	cytochrome P450-like protein
NRRL3_00041	669	NAD(P)-binding domain-containing protein
NRRL3_00042	2397	fungal-specific transcription factor
NRRL3_00043	1215	FAD-binding domain-containing protein
NRRL3_00044	942	NAD(P)-binding domain-containing protein
NRRL3_00046	2415	hypothetical protein
NRRL3_00047	456	GXWXG domain-containing protein
NRRL3_00048	852	short-chain dehydrogenase/reductase family protein
NRRL3_00049	339	uncharacterized protein
NRRL3_00050	609	hypothetical protein
NRRL3_00051	4392	WD repeat-containing protein
NRRL3_00052	729	nuclear transport factor 2 domain-containing protein
NRRL3_00053	2373	oligopeptide transporter OPT superfamily protein
NRRL3_00054	1626	beta-1,3-glucanosyltransferase
NRRL3_00055	1521	microcystin LR degradation protein MlrC-like protein
NRRL3_00056	3159	sodium transport ATPase
NRRL3_00057	693	peptidase M24 domain-containing protein
NRRL3_00058	939	alpha/beta hydrolase fold-1 domain-containing protein
NRRL3_00059	549	hypothetical protein
NRRL3_00060	1596	D-stereospecific N-terminal glycine-D-alanine aminopeptidase
NRRL3_00061	3327	P-type ATPase family protein
NRRL3_00062	2967	uncharacterized protein
NRRL3_00063	1737	tannase
