Name	Length	EffectiveLength	TPM	NumReads
jgi|Aspni_NRRL3_1|1|NRRL3_00001	3804	3547.817	2.214795	274.000
jgi|Aspni_NRRL3_1|2|NRRL3_00002	642	440.000	0.000000	0.000
jgi|Aspni_NRRL3_1|3|NRRL3_00003	1533	1330.000	0.000000	0.000
jgi|Aspni_NRRL3_1|4|NRRL3_00004	3444	3290.238	0.644984	74.000
jgi|Aspni_NRRL3_1|5|NRRL3_00005	786	583.000	0.000000	0.000
jgi|Aspni_NRRL3_1|6|NRRL3_00006	966	776.899	0.036913	1.000
jgi|Aspni_NRRL3_1|7|NRRL3_00007	846	641.236	0.223613	5.000
jgi|Aspni_NRRL3_1|8|NRRL3_00008	873	677.779	0.634669	15.000
jgi|Aspni_NRRL3_1|9|NRRL3_00009	1701	1506.721	0.780360	41.000
jgi|Aspni_NRRL3_1|10|NRRL3_00010	1476	1289.376	0.044483	2.000
jgi|Aspni_NRRL3_1|11|NRRL3_00011	864	670.226	21.308478	498.000
jgi|Aspni_NRRL3_1|12|NRRL3_00012	597	391.334	12.897598	176.000
jgi|Aspni_NRRL3_1|13|NRRL3_00013	1200	1006.396	136.521634	4791.000
jgi|Aspni_NRRL3_1|14|NRRL3_00014	651	453.514	0.126469	2.000
jgi|Aspni_NRRL3_1|15|NRRL3_00015	762	557.770	4.884414	95.000
jgi|Aspni_NRRL3_1|16|NRRL3_00016	2244	2053.368	264.016534	18904.000
jgi|Aspni_NRRL3_1|17|NRRL3_00017	315	138.502	0.207056	1.000
jgi|Aspni_NRRL3_1|18|NRRL3_00018	1506	1326.988	0.086444	4.000
jgi|Aspni_NRRL3_1|19|NRRL3_00019	909	706.000	0.000000	0.000
jgi|Aspni_NRRL3_1|20|NRRL3_00020	207	60.000	0.000000	0.000
jgi|Aspni_NRRL3_1|21|NRRL3_00021	675	474.125	0.665340	11.000
jgi|Aspni_NRRL3_1|22|NRRL3_00022	1734	1556.257	1.621607	88.000
jgi|Aspni_NRRL3_1|23|NRRL3_00023	372	186.012	0.308343	2.000
jgi|Aspni_NRRL3_1|24|NRRL3_00024	4176	4028.979	1.380864	194.000
jgi|Aspni_NRRL3_1|25|NRRL3_00025	1389	1199.085	0.765322	32.000
jgi|Aspni_NRRL3_1|26|NRRL3_00026	1629	1430.031	0.200539	10.000
jgi|Aspni_NRRL3_1|27|NRRL3_00027	723	495.597	16.780835	290.000
jgi|Aspni_NRRL3_1|28|NRRL3_00028	2157	1940.670	0.103440	7.000
jgi|Aspni_NRRL3_1|29|NRRL3_00029	1041	838.000	0.000000	0.000
jgi|Aspni_NRRL3_1|30|NRRL3_00030	3354	3170.736	0.687381	76.000
jgi|Aspni_NRRL3_1|31|NRRL3_00031	1221	1031.358	0.528309	19.000
jgi|Aspni_NRRL3_1|32|NRRL3_00032	969	774.493	0.999748	27.000
jgi|Aspni_NRRL3_1|33|NRRL3_00033	927	705.343	12.563257	309.000
jgi|Aspni_NRRL3_1|34|NRRL3_00034	1656	1426.062	5.912254	294.000
jgi|Aspni_NRRL3_1|35|NRRL3_00035	558	360.861	2.066226	26.000
jgi|Aspni_NRRL3_1|36|NRRL3_00036	4644	4366.007	0.098526	15.000
jgi|Aspni_NRRL3_1|37|NRRL3_00037	1311	1070.710	0.883866	33.000
jgi|Aspni_NRRL3_1|38|NRRL3_00038	627	425.000	0.000000	0.000
jgi|Aspni_NRRL3_1|39|NRRL3_00039	2016	1815.019	0.015800	1.000
jgi|Aspni_NRRL3_1|40|NRRL3_00040	1530	1281.625	0.402769	18.000
jgi|Aspni_NRRL3_1|41|NRRL3_00041	669	445.482	33.732225	524.000
jgi|Aspni_NRRL3_1|42|NRRL3_00042	2397	2108.512	9.738257	716.000
jgi|Aspni_NRRL3_1|43|NRRL3_00043	1215	988.809	2.088161	72.000
jgi|Aspni_NRRL3_1|44|NRRL3_00044	942	745.035	1.308718	34.000
jgi|Aspni_NRRL3_1|45|NRRL3_00045	288	116.000	0.000000	0.000
jgi|Aspni_NRRL3_1|46|NRRL3_00046	2415	2231.434	0.012852	1.000
jgi|Aspni_NRRL3_1|47|NRRL3_00047	456	258.665	0.110868	1.000
jgi|Aspni_NRRL3_1|48|NRRL3_00048	852	647.085	12.010254	271.000
jgi|Aspni_NRRL3_1|49|NRRL3_00049	339	157.000	14.064855	77.000
jgi|Aspni_NRRL3_1|50|NRRL3_00050	609	409.640	0.490050	7.000
jgi|Aspni_NRRL3_1|51|NRRL3_00051	4392	4253.567	1.429311	212.000
jgi|Aspni_NRRL3_1|52|NRRL3_00052	729	529.799	9.147871	169.000
jgi|Aspni_NRRL3_1|53|NRRL3_00053	2373	2201.626	0.091180	7.000
jgi|Aspni_NRRL3_1|54|NRRL3_00054	1626	1379.730	0.810615	39.000
jgi|Aspni_NRRL3_1|55|NRRL3_00055	1521	1322.593	0.607122	28.000
jgi|Aspni_NRRL3_1|56|NRRL3_00056	3159	3007.067	1.335147	140.000
jgi|Aspni_NRRL3_1|57|NRRL3_00057	693	489.718	16.865158	288.000
jgi|Aspni_NRRL3_1|58|NRRL3_00058	939	750.050	7.341002	192.000
jgi|Aspni_NRRL3_1|59|NRRL3_00059	549	350.202	7.124346	87.000
jgi|Aspni_NRRL3_1|60|NRRL3_00060	1596	1417.823	19.114107	945.000
jgi|Aspni_NRRL3_1|61|NRRL3_00061	3327	3173.198	0.506098	56.000
jgi|Aspni_NRRL3_1|62|NRRL3_00062	2967	2800.407	0.317457	31.000
jgi|Aspni_NRRL3_1|63|NRRL3_00063	1737	1548.621	0.074073	4.000
jgi|Aspni_NRRL3_1|64|NRRL3_00064	1914	1711.000	0.000000	0.000
jgi|Aspni_NRRL3_1|65|NRRL3_00065	1659	1475.085	0.019441	1.000
jgi|Aspni_NRRL3_1|66|NRRL3_00066	2118	1936.071	0.014812	1.000
jgi|Aspni_NRRL3_1|67|NRRL3_00067	4332	4191.478	0.136838	20.000
jgi|Aspni_NRRL3_1|68|NRRL3_00068	528	328.000	0.000000	0.000
jgi|Aspni_NRRL3_1|69|NRRL3_00069	981	798.654	0.035908	1.000
jgi|Aspni_NRRL3_1|70|NRRL3_00070	831	631.790	0.045391	1.000
jgi|Aspni_NRRL3_1|71|NRRL3_00071	1080	883.805	0.097344	3.000
jgi|Aspni_NRRL3_1|72|NRRL3_00072	1992	1814.456	1.216994	77.000
jgi|Aspni_NRRL3_1|73|NRRL3_00073	696	501.356	0.114401	2.000
jgi|Aspni_NRRL3_1|74|NRRL3_00074	711	516.884	0.055482	1.000
jgi|Aspni_NRRL3_1|75|NRRL3_00075	1602	1416.523	0.971766	48.000
jgi|Aspni_NRRL3_1|76|NRRL3_00076	1719	1534.962	18.421437	986.000
jgi|Aspni_NRRL3_1|77|NRRL3_00077	510	311.000	0.000000	0.000
jgi|Aspni_NRRL3_1|78|NRRL3_00078	1152	961.924	0.327941	11.000
jgi|Aspni_NRRL3_1|79|NRRL3_00079	1449	1254.770	0.182839	8.000
jgi|Aspni_NRRL3_1|80|NRRL3_00080	1278	1094.055	0.262123	10.000
jgi|Aspni_NRRL3_1|81|NRRL3_00081	1611	1425.901	0.040224	2.000
jgi|Aspni_NRRL3_1|82|NRRL3_00082	891	674.729	0.170010	4.000
jgi|Aspni_NRRL3_1|83|NRRL3_00083	1392	1189.000	0.000000	0.000
jgi|Aspni_NRRL3_1|84|NRRL3_00084	1992	1810.101	0.855530	54.000
jgi|Aspni_NRRL3_1|85|NRRL3_00085	465	263.404	3.592824	33.000
jgi|Aspni_NRRL3_1|86|NRRL3_00086	996	786.341	28.555848	783.000
jgi|Aspni_NRRL3_1|87|NRRL3_00087	762	565.463	9.686648	191.000
jgi|Aspni_NRRL3_1|88|NRRL3_00088	999	809.374	1.310982	37.000
jgi|Aspni_NRRL3_1|89|NRRL3_00089	903	708.039	5.589413	138.000
jgi|Aspni_NRRL3_1|90|NRRL3_00090	1098	904.663	3.582084	113.000
jgi|Aspni_NRRL3_1|91|NRRL3_00091	1113	910.000	0.000000	0.000
jgi|Aspni_NRRL3_1|92|NRRL3_00092	966	763.000	0.000000	0.000
jgi|Aspni_NRRL3_1|93|NRRL3_00093	1923	1746.502	3.760197	229.000
jgi|Aspni_NRRL3_1|94|NRRL3_00094	858	662.455	2.077921	48.000
jgi|Aspni_NRRL3_1|95|NRRL3_00095	2208	2010.909	6.232082	437.000
jgi|Aspni_NRRL3_1|96|NRRL3_00096	261	96.000	44.211441	148.000
jgi|Aspni_NRRL3_1|97|NRRL3_00097	1917	1692.809	47.265090	2790.000
jgi|Aspni_NRRL3_1|98|NRRL3_00098	750	547.000	0.000000	0.000
jgi|Aspni_NRRL3_1|99|NRRL3_00099	1197	994.000	0.000000	0.000
jgi|Aspni_NRRL3_1|100|NRRL3_00100	1590	1387.000	0.000000	0.000
jgi|Aspni_NRRL3_1|101|NRRL3_00101	528	328.000	0.000000	0.000
jgi|Aspni_NRRL3_1|102|NRRL3_00102	7182	6979.000	0.000000	0.000
jgi|Aspni_NRRL3_1|103|NRRL3_00103	1191	988.000	0.000000	0.000
jgi|Aspni_NRRL3_1|104|NRRL3_00104	2271	2107.385	0.040825	3.000
jgi|Aspni_NRRL3_1|105|NRRL3_00105	1773	1570.000	0.000000	0.000
jgi|Aspni_NRRL3_1|106|NRRL3_00106	2223	2020.000	0.000000	0.000
jgi|Aspni_NRRL3_1|107|NRRL3_00107	1485	1282.000	0.000000	0.000
jgi|Aspni_NRRL3_1|108|NRRL3_00108	1452	1263.336	0.068100	3.000
jgi|Aspni_NRRL3_1|109|NRRL3_00109	1659	1456.000	0.000000	0.000
jgi|Aspni_NRRL3_1|110|NRRL3_00110	1536	1322.877	0.260139	12.000
jgi|Aspni_NRRL3_1|111|NRRL3_00111	1335	1132.000	0.000000	0.000
jgi|Aspni_NRRL3_1|112|NRRL3_00112	1182	988.038	0.377324	13.000
jgi|Aspni_NRRL3_1|113|NRRL3_00113	1389	1211.064	0.047359	2.000
jgi|Aspni_NRRL3_1|114|NRRL3_00114	1023	820.000	0.000000	0.000
jgi|Aspni_NRRL3_1|115|NRRL3_00115	885	685.669	1.338380	32.000
jgi|Aspni_NRRL3_1|116|NRRL3_00116	1293	1109.927	0.051675	2.000
jgi|Aspni_NRRL3_1|117|NRRL3_00117	1179	988.975	0.434961	15.000
jgi|Aspni_NRRL3_1|118|NRRL3_00118	924	725.124	1.502850	38.000
jgi|Aspni_NRRL3_1|119|NRRL3_00119	564	363.000	0.000000	0.000
jgi|Aspni_NRRL3_1|120|NRRL3_00120	525	325.000	0.000000	0.000
jgi|Aspni_NRRL3_1|121|NRRL3_00121	1197	994.000	0.000000	0.000
jgi|Aspni_NRRL3_1|122|NRRL3_00122	510	311.000	0.000000	0.000
jgi|Aspni_NRRL3_1|123|NRRL3_00123	2280	2091.332	0.767908	56.000
jgi|Aspni_NRRL3_1|124|NRRL3_00124	2016	1820.590	0.472556	30.000
jgi|Aspni_NRRL3_1|125|NRRL3_00125	1446	1261.327	6.206963	273.000
jgi|Aspni_NRRL3_1|126|NRRL3_00126	1755	1561.075	0.091852	5.000
jgi|Aspni_NRRL3_1|127|NRRL3_00127	978	775.000	0.000000	0.000
jgi|Aspni_NRRL3_1|128|NRRL3_00128	1611	1416.454	1.417228	70.000
jgi|Aspni_NRRL3_1|129|NRRL3_00129	1434	1241.595	1.062483	46.000
jgi|Aspni_NRRL3_1|130|NRRL3_00130	264	99.000	2.607063	9.000
jgi|Aspni_NRRL3_1|131|NRRL3_00131	1647	1462.297	1.804249	92.000
jgi|Aspni_NRRL3_1|132|NRRL3_00132	219	68.000	36.268845	86.000
jgi|Aspni_NRRL3_1|133|NRRL3_00133	858	670.186	16.902293	395.000
jgi|Aspni_NRRL3_1|134|NRRL3_00134	1014	821.402	0.174565	5.000
jgi|Aspni_NRRL3_1|135|NRRL3_00135	8391	8352.147	0.006867	2.000
