#proteinId	gotermId	goName	gotermType	goAcc
2	2290	catalytic activity	molecular_function	GO:0003824
2	10026	carboxy-lyase activity	molecular_function	GO:0016831
2	2985	phosphoenolpyruvate carboxykinase activity	molecular_function	GO:0004611
2	6144	gamma-glutamyl carboxylase activity	molecular_function	GO:0008488
2	6325	3-octaprenyl-4-hydroxybenzoate carboxy-lyase activity	molecular_function	GO:0008694
2	11091	2,3-dihydroxybenzoate decarboxylase activity	molecular_function	GO:0018790
2	11092	2-hydroxy-3-carboxy-6-oxo-7-methylocta-2,4-dienoate decarboxylase activity	molecular_function	GO:0018791
2	11093	bis(4-chlorophenyl)acetate decarboxylase activity	molecular_function	GO:0018792
2	11094	3,5-dibromo-4-hydroxybenzoate decarboxylase activity	molecular_function	GO:0018793
2	11095	2-hydroxyisobutyrate decarboxylase activity	molecular_function	GO:0018794
2	11096	2-hydroxy-2-methyl-1,3-dicarbonate decarboxylase activity	molecular_function	GO:0018795
2	19192	5-amino-4-imidazole carboxylate lyase activity	molecular_function	GO:0043727
2	19193	2-keto-4-methylthiobutyrate aminotransferase activity	molecular_function	GO:0043728
4	3736	ATP binding	molecular_function	GO:0005524
4	4927	transport	biological_process	GO:0006810
4	9321	integral to membrane	cellular_component	GO:0016021
4	18135	ATPase activity, coupled to transmembrane movement of substances	molecular_function	GO:0042626
4	10082	ATPase activity	molecular_function	GO:0016887
4	162	nucleotide binding	molecular_function	GO:0000166
4	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
5	6667	biosynthetic process	biological_process	GO:0009058
5	9967	transferase activity, transferring nitrogenous groups	molecular_function	GO:0016769
5	13063	pyridoxal phosphate binding	molecular_function	GO:0030170
5	11021	6-aminohexanoate transaminase activity	molecular_function	GO:0018719
5	19210	N2-acetyl-L-lysine aminotransferase activity	molecular_function	GO:0043746
5	19224	acetyldiaminopimelate aminotransferase activity	molecular_function	GO:0043760
5	19304	branched-chain amino acid:2-keto-4-methylthiobutyrate aminotransferase activity	molecular_function	GO:0043840
5	21005	aspartate-2-keto-4-methylthiobutyrate transaminase activity	molecular_function	GO:0046571
7	3166	triacylglycerol lipase activity	molecular_function	GO:0004806
7	4758	lipid metabolic process	biological_process	GO:0006629
7	2290	catalytic activity	molecular_function	GO:0003824
8	5830	metabolic process	biological_process	GO:0008152
8	5846	methyltransferase activity	molecular_function	GO:0008168
9	2290	catalytic activity	molecular_function	GO:0003824
9	12002	carboxylic acid metabolic process	biological_process	GO:0019752
9	21335	transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer	molecular_function	GO:0046912
9	2318	2-isopropylmalate synthase activity	molecular_function	GO:0003852
9	6706	leucine biosynthetic process	biological_process	GO:0009098
10	3546	transporter activity	molecular_function	GO:0005215
10	4927	transport	biological_process	GO:0006810
10	9321	integral to membrane	cellular_component	GO:0016021
13	5849	O-methyltransferase activity	molecular_function	GO:0008171
16	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
16	4143	carbohydrate metabolic process	biological_process	GO:0005975
16	2936	alpha-galactosidase activity	molecular_function	GO:0004557
18	2441	acid phosphatase activity	molecular_function	GO:0003993
24	3043	protein kinase activity	molecular_function	GO:0004672
24	3736	ATP binding	molecular_function	GO:0005524
24	4602	protein amino acid phosphorylation	biological_process	GO:0006468
24	162	nucleotide binding	molecular_function	GO:0000166
24	3172	aminoacyl-tRNA ligase activity	molecular_function	GO:0004812
24	3930	cytoplasm	cellular_component	GO:0005737
24	4556	translation	biological_process	GO:0006412
24	4561	tRNA aminoacylation for protein translation	biological_process	GO:0006418
24	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
24	3046	transmembrane receptor protein serine/threonine kinase activity	molecular_function	GO:0004675
24	3047	3-phosphoinositide-dependent protein kinase activity	molecular_function	GO:0004676
24	3048	DNA-dependent protein kinase activity	molecular_function	GO:0004677
24	3049	AMP-activated protein kinase activity	molecular_function	GO:0004679
24	3050	casein kinase activity	molecular_function	GO:0004680
24	3051	casein kinase I activity	molecular_function	GO:0004681
24	3057	cyclic nucleotide-dependent protein kinase activity	molecular_function	GO:0004690
24	3061	eukaryotic translation initiation factor 2alpha kinase activity	molecular_function	GO:0004694
24	3062	galactosyltransferase-associated kinase activity	molecular_function	GO:0004695
24	3063	glycogen synthase kinase 3 activity	molecular_function	GO:0004696
24	3065	calcium-dependent protein kinase C activity	molecular_function	GO:0004698
24	3067	atypical protein kinase C activity	molecular_function	GO:0004700
24	3068	receptor signaling protein serine/threonine kinase activity	molecular_function	GO:0004702
24	3070	NF-kappaB-inducing kinase activity	molecular_function	GO:0004704
24	3071	JUN kinase activity	molecular_function	GO:0004705
24	3072	JUN kinase kinase kinase activity	molecular_function	GO:0004706
24	3074	MAP kinase kinase activity	molecular_function	GO:0004708
24	3076	MAP/ERK kinase kinase activity	molecular_function	GO:0004710
24	3077	ribosomal protein S6 kinase activity	molecular_function	GO:0004711
24	3084	Janus kinase activity	molecular_function	GO:0004718
24	6004	MAP kinase 1 activity	molecular_function	GO:0008338
24	6005	MP kinase activity	molecular_function	GO:0008339
24	6015	MAP kinase kinase kinase kinase activity	molecular_function	GO:0008349
24	6196	JUN kinase kinase activity	molecular_function	GO:0008545
24	10102	MAP kinase 2 activity	molecular_function	GO:0016908
24	10103	SAP kinase activity	molecular_function	GO:0016909
24	11472	transmembrane receptor protein kinase activity	molecular_function	GO:0019199
24	12154	cyclin-dependent protein kinase activating kinase activity	molecular_function	GO:0019912
24	17037	GTP-dependent protein kinase activity	molecular_function	GO:0034211
25	9710	oxidoreductase activity	molecular_function	GO:0016491
26	4977	amino acid transport	biological_process	GO:0006865
26	8535	amino acid transmembrane transporter activity	molecular_function	GO:0015171
26	9320	membrane	cellular_component	GO:0016020
26	4927	transport	biological_process	GO:0006810
27	2290	catalytic activity	molecular_function	GO:0003824
27	5830	metabolic process	biological_process	GO:0008152
28	2196	transcription factor activity	molecular_function	GO:0003700
28	3838	nucleus	cellular_component	GO:0005634
28	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
28	5939	zinc ion binding	molecular_function	GO:0008270
28	2176	DNA binding	molecular_function	GO:0003677
28	4499	transcription	biological_process	GO:0006350
30	2290	catalytic activity	molecular_function	GO:0003824
30	5830	metabolic process	biological_process	GO:0008152
30	22441	cofactor binding	molecular_function	GO:0048037
30	3708	binding	molecular_function	GO:0005488
30	2485	L-aminoadipate-semialdehyde dehydrogenase activity	molecular_function	GO:0004043
30	4120	aminoadipate-semialdehyde dehydrogenase complex	cellular_component	GO:0005949
32	4925	regulation of nitrogen utilization	biological_process	GO:0006808
32	9773	transcription repressor activity	molecular_function	GO:0016564
32	2290	catalytic activity	molecular_function	GO:0003824
32	3708	binding	molecular_function	GO:0005488
32	5830	metabolic process	biological_process	GO:0008152
34	2196	transcription factor activity	molecular_function	GO:0003700
34	3838	nucleus	cellular_component	GO:0005634
34	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
34	5939	zinc ion binding	molecular_function	GO:0008270
36	2290	catalytic activity	molecular_function	GO:0003824
36	5830	metabolic process	biological_process	GO:0008152
36	162	nucleotide binding	molecular_function	GO:0000166
36	3172	aminoacyl-tRNA ligase activity	molecular_function	GO:0004812
36	3736	ATP binding	molecular_function	GO:0005524
36	3930	cytoplasm	cellular_component	GO:0005737
36	4556	translation	biological_process	GO:0006412
36	4561	tRNA aminoacylation for protein translation	biological_process	GO:0006418
36	14021	phosphopantetheine binding	molecular_function	GO:0031177
36	22441	cofactor binding	molecular_function	GO:0048037
36	10069	ligase activity	molecular_function	GO:0016874
37	2888	monooxygenase activity	molecular_function	GO:0004497
37	4283	electron transport	biological_process	GO:0006118
37	4851	aromatic compound metabolic process	biological_process	GO:0006725
37	5830	metabolic process	biological_process	GO:0008152
37	9710	oxidoreductase activity	molecular_function	GO:0016491
37	2893	kynurenine 3-monooxygenase activity	molecular_function	GO:0004502
39	8851	tetracycline:hydrogen antiporter activity	molecular_function	GO:0015520
39	9211	tetracycline transport	biological_process	GO:0015904
39	9321	integral to membrane	cellular_component	GO:0016021
39	21106	response to antibiotic	biological_process	GO:0046677
39	3546	transporter activity	molecular_function	GO:0005215
39	4927	transport	biological_process	GO:0006810
40	2888	monooxygenase activity	molecular_function	GO:0004497
40	3721	iron ion binding	molecular_function	GO:0005506
40	4283	electron transport	biological_process	GO:0006118
40	12251	heme binding	molecular_function	GO:0020037
40	10891	fluorene oxygenase activity	molecular_function	GO:0018585
40	10892	mono-butyltin dioxygenase activity	molecular_function	GO:0018586
40	10893	limonene 8-monooxygenase activity	molecular_function	GO:0018587
40	10894	tri-n-butyltin dioxygenase activity	molecular_function	GO:0018588
40	10895	di-n-butyltin dioxygenase activity	molecular_function	GO:0018589
40	10896	methylsilanetriol hydroxylase activity	molecular_function	GO:0018590
40	10897	methyl tertiary butyl ether 3-monooxygenase activity	molecular_function	GO:0018591
40	10898	4-nitrocatechol 4-monooxygenase activity	molecular_function	GO:0018592
40	10899	4-chlorophenoxyacetate monooxygenase activity	molecular_function	GO:0018593
40	10900	tert-butyl alcohol 2-monooxygenase activity	molecular_function	GO:0018594
40	10901	alpha-pinene monooxygenase activity	molecular_function	GO:0018595
40	10902	dimethylsilanediol hydroxylase activity	molecular_function	GO:0018596
40	10903	ammonia monooxygenase activity	molecular_function	GO:0018597
40	10904	hydroxymethylsilanetriol oxidase activity	molecular_function	GO:0018598
40	10905	2-hydroxyisobutyrate 3-monooxygenase activity	molecular_function	GO:0018599
40	10906	alpha-pinene dehydrogenase activity	molecular_function	GO:0018600
40	19287	spheroidene monooxygenase activity	molecular_function	GO:0043823
41	2290	catalytic activity	molecular_function	GO:0003824
41	19375	cellular metabolic process	biological_process	GO:0044237
41	23921	coenzyme binding	molecular_function	GO:0050662
41	3708	binding	molecular_function	GO:0005488
41	5830	metabolic process	biological_process	GO:0008152
42	2196	transcription factor activity	molecular_function	GO:0003700
42	3838	nucleus	cellular_component	GO:0005634
42	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
42	5939	zinc ion binding	molecular_function	GO:0008270
42	2176	DNA binding	molecular_function	GO:0003677
42	4499	transcription	biological_process	GO:0006350
43	2888	monooxygenase activity	molecular_function	GO:0004497
43	4283	electron transport	biological_process	GO:0006118
43	4851	aromatic compound metabolic process	biological_process	GO:0006725
43	5830	metabolic process	biological_process	GO:0008152
43	9710	oxidoreductase activity	molecular_function	GO:0016491
43	10964	salicylate 1-monooxygenase activity	molecular_function	GO:0018658
44	4925	regulation of nitrogen utilization	biological_process	GO:0006808
44	9773	transcription repressor activity	molecular_function	GO:0016564
44	2290	catalytic activity	molecular_function	GO:0003824
44	3708	binding	molecular_function	GO:0005488
44	5830	metabolic process	biological_process	GO:0008152
48	5830	metabolic process	biological_process	GO:0008152
48	9710	oxidoreductase activity	molecular_function	GO:0016491
48	2290	catalytic activity	molecular_function	GO:0003824
48	3708	binding	molecular_function	GO:0005488
48	141	acylglycerone-phosphate reductase activity	molecular_function	GO:0000140
56	3736	ATP binding	molecular_function	GO:0005524
56	4927	transport	biological_process	GO:0006810
56	8976	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism	molecular_function	GO:0015662
56	9320	membrane	cellular_component	GO:0016020
56	4929	cation transport	biological_process	GO:0006812
56	2290	catalytic activity	molecular_function	GO:0003824
56	5830	metabolic process	biological_process	GO:0008152
56	9321	integral to membrane	cellular_component	GO:0016021
56	10015	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	molecular_function	GO:0016820
56	3670	calcium-transporting ATPase activity	molecular_function	GO:0005388
57	4639	proteolysis	biological_process	GO:0006508
57	5907	metalloexopeptidase activity	molecular_function	GO:0008235
57	587	nucleosome	cellular_component	GO:0000786
57	2176	DNA binding	molecular_function	GO:0003677
57	3838	nucleus	cellular_component	GO:0005634
57	4484	nucleosome assembly	biological_process	GO:0006334
60	6419	beta-lactamase activity	molecular_function	GO:0008800
60	13507	beta-lactam antibiotic catabolic process	biological_process	GO:0030655
60	21106	response to antibiotic	biological_process	GO:0046677
60	2615	aminopeptidase activity	molecular_function	GO:0004177
61	3736	ATP binding	molecular_function	GO:0005524
61	4927	transport	biological_process	GO:0006810
61	8976	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism	molecular_function	GO:0015662
61	9320	membrane	cellular_component	GO:0016020
61	4929	cation transport	biological_process	GO:0006812
61	2290	catalytic activity	molecular_function	GO:0003824
61	5830	metabolic process	biological_process	GO:0008152
61	10015	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	molecular_function	GO:0016820
64	20812	L-arabinose metabolic process	biological_process	GO:0046373
64	20990	alpha-N-arabinofuranosidase activity	molecular_function	GO:0046556
65	8851	tetracycline:hydrogen antiporter activity	molecular_function	GO:0015520
65	9211	tetracycline transport	biological_process	GO:0015904
65	9321	integral to membrane	cellular_component	GO:0016021
65	21106	response to antibiotic	biological_process	GO:0046677
65	3546	transporter activity	molecular_function	GO:0005215
65	4927	transport	biological_process	GO:0006810
66	2196	transcription factor activity	molecular_function	GO:0003700
66	3838	nucleus	cellular_component	GO:0005634
66	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
66	5939	zinc ion binding	molecular_function	GO:0008270
66	2176	DNA binding	molecular_function	GO:0003677
66	4499	transcription	biological_process	GO:0006350
67	3736	ATP binding	molecular_function	GO:0005524
67	10082	ATPase activity	molecular_function	GO:0016887
67	162	nucleotide binding	molecular_function	GO:0000166
67	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
67	4927	transport	biological_process	GO:0006810
67	9321	integral to membrane	cellular_component	GO:0016021
67	18135	ATPase activity, coupled to transmembrane movement of substances	molecular_function	GO:0042626
69	3546	transporter activity	molecular_function	GO:0005215
69	3708	binding	molecular_function	GO:0005488
69	4927	transport	biological_process	GO:0006810
70	2290	catalytic activity	molecular_function	GO:0003824
70	9985	hydrolase activity	molecular_function	GO:0016787
71	2290	catalytic activity	molecular_function	GO:0003824
71	3708	binding	molecular_function	GO:0005488
71	5830	metabolic process	biological_process	GO:0008152
71	2413	NADPH:quinone reductase activity	molecular_function	GO:0003960
72	2196	transcription factor activity	molecular_function	GO:0003700
72	3838	nucleus	cellular_component	GO:0005634
72	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
72	5939	zinc ion binding	molecular_function	GO:0008270
72	2176	DNA binding	molecular_function	GO:0003677
72	4499	transcription	biological_process	GO:0006350
73	5830	metabolic process	biological_process	GO:0008152
73	9985	hydrolase activity	molecular_function	GO:0016787
74	5830	metabolic process	biological_process	GO:0008152
74	9985	hydrolase activity	molecular_function	GO:0016787
75	10079	carbon-nitrogen ligase activity, with glutamine as amido-N-donor	molecular_function	GO:0016884
75	2483	amidase activity	molecular_function	GO:0004040
76	2290	catalytic activity	molecular_function	GO:0003824
76	13821	thiamin pyrophosphate binding	molecular_function	GO:0030976
76	281	magnesium ion binding	molecular_function	GO:0000287
76	10026	carboxy-lyase activity	molecular_function	GO:0016831
76	3103	pyruvate decarboxylase activity	molecular_function	GO:0004737
77	2175	nucleic acid binding	molecular_function	GO:0003676
77	3827	intracellular	cellular_component	GO:0005622
77	5939	zinc ion binding	molecular_function	GO:0008270
78	2313	1-alkyl-2-acetylglycerophosphocholine esterase activity	molecular_function	GO:0003847
78	5918	2-acetyl-1-alkylglycerophosphocholine esterase complex	cellular_component	GO:0008247
78	9341	lipid catabolic process	biological_process	GO:0016042
78	2290	catalytic activity	molecular_function	GO:0003824
80	2290	catalytic activity	molecular_function	GO:0003824
80	3708	binding	molecular_function	GO:0005488
80	5830	metabolic process	biological_process	GO:0008152
